LULC,NAME,HABITAT,FP,PS,SC,MU,BUE,ONVA,MI,AQ,PO,SY,RC,OTCR,CF,CI,OPCR,CT,RVL,RLT,RMT,RHT,RRD,EGI
0,NOBS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,PM-FRF,0.6789999999999999,0.2504566666777,0.24163,0.2603866666777,0.1511566666777,0.2868666666777,0.1643966666777,0.3287933333223,0.24494,0.2504566666777,0.2868666666777,0.2659033333223,0.2460433333223,0.2140466666777,0.21184,0.2206666666777,0.25487,0.1997033333223,0.2559733333223,0.2824533333223001,0.3034166666777,0.2581800000000001,0.21846
2,PM-SVF,0.6719999999999999,0.2557533333446001,0.24674,0.2658933333446,0.1543533333446,0.2929333333446001,0.1678733333446,0.3357466666554,0.25012,0.2557533333446001,0.2929333333446001,0.2715266666554,0.2512466666554,0.2185733333446,0.21632,0.2253333333446,0.26026,0.2039266666554,0.2613866666554,0.2884266666554,0.3098333333446,0.2636400000000001,0.22308
3,PM-MG,0.693,0.2398633333439,0.23141,0.2493733333439,0.1447633333439,0.2747333333439,0.1574433333439,0.3148866666561,0.23458,0.2398633333439,0.2747333333439,0.2546566666561,0.2356366666561,0.2049933333439,0.20288,0.2113333333439,0.24409,0.1912566666561,0.2451466666561,0.2705066666561,0.2905833333439,0.24726,0.20922
4,PM-FLF,0.6859999999999999,0.2451600000108,0.23652,0.2548800000108,0.1479600000108,0.2808000000108001,0.1609200000108,0.3218399999892,0.23976,0.2451600000108,0.2808000000108001,0.2602799999892,0.2408399999892,0.2095200000108,0.20736,0.2160000000108,0.24948,0.1954799999892,0.2505599999892,0.2764799999892001,0.2970000000108,0.25272,0.21384
5,PM-WS,0.66966666669,0.2575188888825778,0.2484433333163,0.2677288888818778,0.1554188888895778,0.2949555555466778,0.1690322222219777,0.3380644444099222,0.2518466666494,0.2575188888825778,0.2949555555466778,0.2734011110810223,0.2529811110824222,0.2200822222184777,0.2178133333184,0.2268888888846778,0.2620566666487,0.2053344444190222,0.2631911110817223,0.2904177777465223,0.3119722222121778,0.2654599999818,0.2246199999846
6,PM-WE,0.68133333331,0.2486911111397222,0.2399266666837,0.2585511111404222,0.1500911111327222,0.2848444444756222,0.1632377778003222,0.3264755555677777,0.2432133333506,0.2486911111397222,0.2848444444756222,0.2640288888966778,0.2443088888952777,0.2125377778038222,0.2103466666816,0.2191111111376222,0.2530733333513,0.1982955555586777,0.2541688888959778,0.2804622222311778,0.3012777778101222,0.2563600000182,0.2169200000154
7,PM-GR,0.65566666669,0.2681122222163778,0.2586633333163,0.2787422222156778,0.1618122222233778,0.3070888888804778,0.1759855555557778,0.3519711110761223,0.2622066666494,0.2681122222163778,0.3070888888804778,0.2846477777472223,0.2633877777486222,0.2291355555522778,0.2267733333184,0.2362222222184778,0.2728366666487,0.2137811110852222,0.2740177777479222,0.3023644444127223,0.3248055555459778,0.2763799999818001,0.2338599999846
8,PM-SF,0.6276666666899999,0.2892988888839778,0.2791033333163,0.3007688888832778,0.1745988888909778,0.3313555555480779,0.1898922222233778,0.3797844444085222,0.2829266666494,0.2892988888839778,0.3313555555480779,0.3071411110796223,0.2842011110810222,0.2472422222198778,0.2446933333184,0.2548888888860778,0.2943966666487,0.2306744444176222,0.2956711110803223,0.3262577777451223,0.3504722222135778,0.2982199999818001,0.2523399999846
9,PM-RO,0.644,0.2769400000122,0.26718,0.2879200000122,0.1671400000122,0.3172000000122,0.1817800000122,0.3635599999878,0.2708399999999999,0.2769400000122,0.3172000000122,0.2940199999878,0.2720599999877999,0.2366800000121999,0.23424,0.2440000000121999,0.28182,0.2208199999878,0.2830399999878,0.3123199999878,0.3355000000122,0.28548,0.24156
10,PM-HS,0.651,0.2716433333453,0.2620699999999999,0.2824133333453,0.1639433333453,0.3111333333453,0.1783033333453,0.3566066666547,0.26566,0.2716433333453,0.3111333333453,0.2883966666547,0.2668566666547,0.2321533333452999,0.22976,0.2393333333452999,0.27643,0.2165966666547,0.2776266666547,0.3063466666547,0.3290833333453,0.28002,0.23694
