LULC,NAME,HABITAT,FP,PS,SC,MU,BUE,ONVA,MI,AQ,PO,SY,RC,OTCR,CF,CI,OPCR,CT,RVL,RLT,RMT,RHT,RRD,EGI
0,NOBS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,PM-FRF,0.7,0.31,0.31,0.31,0.248,0.31,0.155,0.31,0.31,0.31,0.31,0.31,0.31,0.2790000000000001,0.29605,0.29605,0.31,0.26505,0.31,0.31,0.31,0.31,0.2790000000000001
2,PM-SVF,0.7,0.31,0.31,0.31,0.248,0.31,0.155,0.31,0.31,0.31,0.31,0.31,0.31,0.2790000000000001,0.29605,0.29605,0.31,0.26505,0.31,0.31,0.31,0.31,0.2790000000000001
3,PM-MG,0.7,0.31,0.31,0.31,0.248,0.31,0.155,0.31,0.31,0.31,0.31,0.31,0.31,0.2790000000000001,0.29605,0.29605,0.31,0.26505,0.31,0.31,0.31,0.31,0.2790000000000001
4,PM-FLF,0.7,0.31,0.31,0.31,0.248,0.31,0.155,0.31,0.31,0.31,0.31,0.31,0.31,0.2790000000000001,0.29605,0.29605,0.31,0.26505,0.31,0.31,0.31,0.31,0.2790000000000001
5,PM-WS,0.7,0.31,0.31,0.31,0.248,0.31,0.155,0.31,0.31,0.31,0.31,0.31,0.31,0.2790000000000001,0.29605,0.29605,0.31,0.26505,0.31,0.31,0.31,0.31,0.2790000000000001
6,PM-WE,0.7,0.31,0.31,0.31,0.248,0.31,0.155,0.31,0.31,0.31,0.31,0.31,0.31,0.2790000000000001,0.29605,0.29605,0.31,0.26505,0.31,0.31,0.31,0.31,0.2790000000000001
7,PM-GR,0.7,0.31,0.31,0.31,0.248,0.31,0.155,0.31,0.31,0.31,0.31,0.31,0.31,0.2790000000000001,0.29605,0.29605,0.31,0.26505,0.31,0.31,0.31,0.31,0.2790000000000001
8,PM-SF,0.7,0.31,0.31,0.31,0.248,0.31,0.155,0.31,0.31,0.31,0.31,0.31,0.31,0.2790000000000001,0.29605,0.29605,0.31,0.26505,0.31,0.31,0.31,0.31,0.2790000000000001
9,PM-RO,0.7,0.31,0.31,0.31,0.248,0.31,0.155,0.31,0.31,0.31,0.31,0.31,0.31,0.2790000000000001,0.29605,0.29605,0.31,0.26505,0.31,0.31,0.31,0.31,0.2790000000000001
