THREAT,MAX_DIST,WEIGHT,DECAY,BASE_PATH,CUR_PATH,FUT_PATH
FP,5.0,1.0,linear,,FP.tif,
PS,5.0,1.0,linear,,PS.tif,
SC,5.0,1.0,linear,,SC.tif,
MU,3.2,0.8,linear,,MU.tif,
BUE,5.0,1.0,linear,,BUE.tif,
ONVA,2.5,0.5,linear,,ONVA.tif,
MI,5.0,1.0,linear,,MI.tif,
AQ,5.0,1.0,linear,,AQ.tif,
PO,5.0,1.0,linear,,PO.tif,
SY,5.0,1.0,linear,,SY.tif,
RC,5.0,1.0,linear,,RC.tif,
OTCR,5.0,1.0,linear,,OTCR.tif,
CF,5.0,0.9,linear,,CF.tif,
CI,5.0,0.955,linear,,CI.tif,
OPCR,3.2,0.955,linear,,OPCR.tif,
CT,5.0,1.0,linear,,CT.tif,
RVL,1.0,0.855,linear,,RVL.tif,
RLT,5.0,1.0,linear,,RLT.tif,
RMT,5.0,1.0,linear,,RMT.tif,
RHT,5.0,1.0,linear,,RHT.tif,
RRD,3.2,1.0,linear,,RRD.tif,
EGI,5.0,0.9,linear,,EGI.tif,
