Id_HQ,Name_HQ,Alias_HQ,Color_HQ,Id_PLANS3,Name_PLANS3,Alias_PLANS3,Color_PLANS3,Id_PLANS,Name_PLANS,Alias_PLANS,Color_PLANS,Id_MBC8,Name_MBC8,Alias_MBC8,Color_MBC8,Type_MBC8,Source_MBC8,Id_MBC7,Name_MBC7,Alias_MBC7,Color_MBC7,Type_MBC7,Source_MBC7
3,Forest Formation,Fr,#1f8d49,3,Forest,F,darkgreen,1,Forest Formation,Fr,#1f8d49,3,Forest Formation,Fr,#1f8d49,Natural cover,Mapbiomas C8,3,Forest Formation,Fr,#006400,Natural cover,Mapbiomas C7
4,Savanna Formation,Sv,#7dc975,4,Pasture,P,limegreen,2,Savanna Formation,Sv,#7dc975,4,Savanna Formation,Sv,#7dc975,Natural cover,Mapbiomas C8,4,Savanna Formation,Sv,#00ff00,Natural cover,Mapbiomas C7
5,Mangrove,Mg,#04381d,3,Forest,F,darkgreen,3,Mangrove,Mg,#04381d,5,Mangrove,Mg,#04381d,Natural cover,Mapbiomas C8,5,Mangrove,Mg,#687537,Natural cover,Mapbiomas C7
6,Floodable Forest,Fl,#026975,3,Forest,F,darkgreen,4,Floodable Forest,Fl,#026975,6,Floodable Forest,Fl,#026975,Natural cover,Mapbiomas C8,3,Forest Formation,Fr,#006400,Natural cover,Mapbiomas C7
49,Wooded Sandbank Vegetation,Ws,#02d659,4,Pasture,P,limegreen,5,Wooded Sandbank Vegetation,Ws,#02d659,49,Wooded Sandbank Vegetation,Ws,#02d659,Natural cover,Mapbiomas C8,49,Wooded Sandbank Vegetation,Ws,#6b9932,Natural cover,Mapbiomas C7
11,Wetland,We,#519799,4,Pasture,P,limegreen,6,Wetland,We,#519799,11,Wetland,We,#519799,Natural cover,Mapbiomas C8,11,Wetland,We,#45c2a5,Natural cover,Mapbiomas C7
12,Grassland,Gr,#d6bc74,4,Pasture,P,limegreen,7,Grassland,Gr,#d6bc74,12,Grassland,Gr,#d6bc74,Natural cover,Mapbiomas C8,12,Grassland,Gr,#b8af4f,Natural cover,Mapbiomas C7
32,Hypersaline Tidal Flat,Sf,#fc8114,4,Pasture,P,limegreen,8,Hypersaline Tidal Flat,Sf,#fc8114,32,Hypersaline Tidal Flat,Sf,#fc8114,Natural cover,Mapbiomas C8,32,Salt-Flat,Sf,#968c46,Natural cover,Mapbiomas C7
29,Rocky Outcrop,Ro,#ffaa5f,4,Pasture,P,limegreen,9,Rocky Outcrop,Ro,#ffaa5f,29,Rocky Outcrop,Ro,#ffaa5f,Natural cover,Mapbiomas C8,29,Rocky Outcrop,Ro,#ff8C00,Natural cover,Mapbiomas C7
50,Herbaceous Sandbank Vegetation,Hs,#ad5100,4,Pasture,P,limegreen,10,Herbaceous Sandbank Vegetation,Hs,#ad5100,50,Herbaceous Sandbank Vegetation,Hs,#ad5100,Natural cover,Mapbiomas C8,50,Herbaceus Sandbank Vegetation,Hs,#66ffcc,Natural cover,Mapbiomas C7
