LULC,NAME,HABITAT,PS,SY,SC,RC,CT,TC,CF,CI,PO,PC,FP,MU,UR,MI,NV,AQ,VL,LT,MT,HT,RR,WF
3,FR,0.735,0.206,0.23,0.219,0.219,0.193,0.206,0.158,0.158,0.219,0.182,0.219,0.135,0.267,0.338,0.193,0.206,0.172,0.219,0.243,0.254,0.219,0.195
4,SV,0.79,0.184,0.203,0.194,0.194,0.174,0.184,0.146,0.146,0.194,0.165,0.194,0.127,0.232,0.289,0.174,0.184,0.157,0.194,0.213,0.222,0.194,0.176
5,MG,1.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
6,FL,0.735,0.206,0.23,0.219,0.219,0.193,0.206,0.158,0.158,0.219,0.182,0.219,0.135,0.267,0.338,0.193,0.206,0.172,0.219,0.243,0.254,0.219,0.195
49,WS,0.745,0.202,0.225,0.215,0.215,0.19,0.202,0.156,0.156,0.215,0.179,0.215,0.133,0.261,0.33,0.19,0.202,0.169,0.215,0.238,0.248,0.215,0.192
11,WE,0.8,0.18,0.198,0.19,0.19,0.17,0.18,0.144,0.144,0.19,0.162,0.19,0.126,0.226,0.28,0.17,0.18,0.154,0.19,0.208,0.216,0.19,0.172
12,GR,0.7,0.22,0.247,0.235,0.235,0.205,0.22,0.166,0.166,0.235,0.193,0.235,0.139,0.289,0.37,0.206,0.22,0.181,0.235,0.262,0.274,0.235,0.208
32,SF,0.6,0.26,0.296,0.28,0.28,0.24,0.26,0.188,0.188,0.28,0.224,0.28,0.152,0.352,0.46,0.241,0.26,0.208,0.28,0.316,0.332,0.28,0.244
29,RO,0.7,0.22,0.247,0.235,0.235,0.205,0.22,0.166,0.166,0.235,0.193,0.235,0.139,0.289,0.37,0.206,0.22,0.181,0.235,0.262,0.274,0.235,0.208
50,HS,0.7,0.22,0.247,0.235,0.235,0.205,0.22,0.166,0.166,0.235,0.193,0.235,0.139,0.289,0.37,0.206,0.22,0.181,0.235,0.262,0.274,0.235,0.208
13,NF,0.728,0.209,0.234,0.223,0.223,0.196,0.209,0.16,0.16,0.223,0.185,0.223,0.136,0.272,0.345,0.196,0.209,0.174,0.223,0.247,0.258,0.223,0.198
23,SD,0.39,0.344,0.399,0.375,0.375,0.314,0.344,0.235,0.235,0.375,0.289,0.375,0.18,0.484,0.649,0.315,0.344,0.265,0.375,0.429,0.454,0.375,0.32
33,W,0.845,0.162,0.176,0.17,0.17,0.154,0.162,0.134,0.134,0.17,0.148,0.17,0.12,0.198,0.24,0.155,0.162,0.142,0.17,0.184,0.19,0.17,0.156
15,PS,0.145,0.442,0.519,0.485,0.485,0.4,0.442,0.289,0.289,0.485,0.365,0.485,0.212,0.639,0.869,0.401,0.442,0.331,0.485,0.562,0.596,0.485,0.408
39,SY,0.0,0.501,0.59,0.55,0.55,0.451,0.501,0.32,0.32,0.55,0.41,0.55,0.23,0.73,1.0,0.452,0.501,0.37,0.55,0.64,0.68,0.55,0.46
20,SC,0.0,0.501,0.59,0.55,0.55,0.451,0.501,0.32,0.32,0.55,0.41,0.55,0.23,0.73,1.0,0.452,0.501,0.37,0.55,0.64,0.68,0.55,0.46
40,RC,0.0,0.501,0.59,0.55,0.55,0.451,0.501,0.32,0.32,0.55,0.41,0.55,0.23,0.73,1.0,0.452,0.501,0.37,0.55,0.64,0.68,0.55,0.46
62,CT,0.0,0.501,0.59,0.55,0.55,0.451,0.501,0.32,0.32,0.55,0.41,0.55,0.23,0.73,1.0,0.452,0.501,0.37,0.55,0.64,0.68,0.55,0.46
41,TC,0.1,0.46,0.541,0.505,0.505,0.416,0.46,0.298,0.298,0.505,0.379,0.505,0.217,0.667,0.91,0.417,0.46,0.343,0.505,0.586,0.622,0.505,0.424
46,CF,0.145,0.442,0.519,0.485,0.485,0.4,0.442,0.289,0.289,0.485,0.365,0.485,0.212,0.639,0.869,0.401,0.442,0.331,0.485,0.562,0.596,0.485,0.408
47,CI,0.1,0.46,0.541,0.505,0.505,0.416,0.46,0.298,0.298,0.505,0.379,0.505,0.217,0.667,0.91,0.417,0.46,0.343,0.505,0.586,0.622,0.505,0.424
35,PO,0.1,0.46,0.541,0.505,0.505,0.416,0.46,0.298,0.298,0.505,0.379,0.505,0.217,0.667,0.91,0.417,0.46,0.343,0.505,0.586,0.622,0.505,0.424
48,PC,0.045,0.482,0.568,0.53,0.53,0.435,0.482,0.311,0.311,0.53,0.397,0.53,0.225,0.702,0.959,0.436,0.482,0.358,0.53,0.616,0.654,0.53,0.444
9,FP,0.1,0.46,0.541,0.505,0.505,0.416,0.46,0.298,0.298,0.505,0.379,0.505,0.217,0.667,0.91,0.417,0.46,0.343,0.505,0.586,0.622,0.505,0.424
21,MU,0.3,0.38,0.443,0.415,0.415,0.346,0.38,0.254,0.254,0.415,0.317,0.415,0.191,0.541,0.73,0.346,0.38,0.289,0.415,0.478,0.506,0.415,0.352
24,UR,0.0,0.501,0.59,0.55,0.55,0.451,0.501,0.32,0.32,0.55,0.41,0.55,0.23,0.73,1.0,0.452,0.501,0.37,0.55,0.64,0.68,0.55,0.46
30,MI,0.0,0.501,0.59,0.55,0.55,0.451,0.501,0.32,0.32,0.55,0.41,0.55,0.23,0.73,1.0,0.452,0.501,0.37,0.55,0.64,0.68,0.55,0.46
25,NV,0.085,0.466,0.549,0.512,0.512,0.421,0.466,0.302,0.302,0.512,0.384,0.512,0.219,0.676,0.924,0.422,0.466,0.347,0.512,0.594,0.631,0.512,0.429
