Id;Alias;Name;Type;h_mean;h_std;h_min;h_p05;h_p25;h_p50;h_p75;h_p95;h_max;r_mean;r_std;r_min;r_p05;r_p25;r_p50;r_p75;r_p95;r_max;dmax_mean;dmax_std;dmax_min;dmax_p05;dmax_p25;dmax_p50;dmax_p75;dmax_p95;dmax_max
3;Fr;Forest;Natural cover;0.97;0.1022168081191589;0.6;0.7350000000000001;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4;Sv;Savanna;Natural cover;0.96;0.1069966161243848;0.5;0.79;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;Mg;Mangrove;Natural cover;0.99;0.0547722557505166;0.7;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
49;Ws;Wooded Sandbank;Natural cover;0.9566666666666668;0.0935260735665814;0.7;0.745;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
11;We;Wetland;Natural cover;0.9733333333333332;0.0639683829949492;0.8;0.8;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12;Gr;Grassland;Natural cover;0.9366666666666668;0.1129031728375319;0.6;0.7;0.9;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
32;Sf;Salt-Flat;Natural cover;0.8966666666666667;0.1884296874869689;0.2;0.6;0.8;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
29;Ro;Rocky Outcrop;Natural cover;0.92;0.129721186422637;0.5;0.7;0.9;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50;Hs;Herbaceus Sandbank;Natural cover;0.93;0.1235955584516107;0.6;0.7;0.9;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
23;Sd;Sand;Natural cover;0.8400000000000001;0.2298425248009961;0.2;0.39;0.725;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
33;W;Water;Natural cover;0.98;0.0550861394419747;0.8;0.845;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
15;Ps;Pasture;Extensive use;0.5033333333333333;0.2428044954042361;0.1;0.145;0.325;0.5;0.675;0.9549999999999996;1.0;0.73;0.205359231088119;0.1;0.445;0.6;0.8;0.875;1.0;1.0;1.0933333333333333;1.5510068414491995;0.1;0.1;0.3125;0.5;0.75;5.0;5.0
39;Sy;Soybean;Extensive use;0.2266666666666666;0.2180372213294268;0.0;0.0;0.025;0.2;0.375;0.5549999999999997;0.8;0.8666666666666666;0.1397863723152492;0.5;0.545;0.8;0.9;1.0;1.0;1.0;1.84;1.926369642617948;0.1;0.1675;0.5;1.0;4.0;5.0;5.0
20;Sc;Sugar cane;Extensive use;0.2966666666666667;0.2141274730450151;0.0;0.0;0.2;0.25;0.5;0.6549999999999997;0.7;0.7866666666666666;0.1613164235462314;0.5;0.5;0.7;0.8;0.9;1.0;1.0;1.3816666666666668;1.6450675433617377;0.1;0.1675;0.5;0.875;1.0;5.0;5.0
40;Rc;Rice;Extensive use;0.3299999999999999;0.2002584536938754;0.0;0.0;0.2;0.4;0.5;0.6;0.7;0.8033333333333333;0.1711690701461938;0.4;0.5;0.7;0.85;0.9;1.0;1.0;2.4066666666666667;2.131186419709819;0.1;0.1675;0.5625;1.0;5.0;5.0;5.0
62;Ct;Cotton;Extensive use;0.27;0.1932480985319309;0.0;0.0;0.1;0.2;0.4;0.6;0.7;0.77;0.2036731661773088;0.2;0.39;0.7;0.8;0.9;1.0;1.0;1.4983333333333335;1.7734844860393402;0.1;0.1675;0.5;0.75;1.0;5.0;5.0
41;Tc;Temporary Crops;Extensive use;0.3399999999999999;0.2094327313614498;0.0;0.1;0.2;0.3;0.475;0.7649999999999991;0.9;0.7433333333333334;0.1813423763803275;0.3;0.445;0.625;0.7;0.9;1.0;1.0;1.2366666666666668;1.5028269657179063;0.1;0.25;0.5;0.75;1.0;5.0;5.0
46;Cf;Coffe;Extensive use;0.4566666666666666;0.1977168531587242;0.1;0.145;0.325;0.5;0.6;0.7;0.8;0.6466666666666667;0.2255007199825394;0.1;0.245;0.525;0.7;0.8;0.9;1.0;1.1316666666666668;1.5428589983821883;0.1;0.1675;0.25;0.5;1.0;5.0;5.0
47;Ci;Citrus;Extensive use;0.4233333333333333;0.2269487764374083;0.0;0.1;0.225;0.5;0.6;0.7;0.8;0.64;0.214315268897852;0.2;0.245;0.525;0.65;0.775;0.9549999999999996;1.0;1.1483333333333334;1.5359298667437766;0.1;0.1675;0.3125;0.5;1.0;5.0;5.0
48;Pc;Perennial Crops;Extensive use;0.4599999999999999;0.2206573252181169;0.0;0.045;0.325;0.45;0.6;0.7549999999999997;0.9;0.6666666666666667;0.1953482007601551;0.2;0.345;0.6;0.65;0.8;0.9549999999999996;1.0;0.915;1.141501204554774;0.1;0.1675;0.25;0.5;1.0;3.1999999999999886;5.0
9;Fp;Plantation;Extensive use;0.4133333333333334;0.2046583921349534;0.0;0.1;0.3;0.4;0.5;0.7549999999999997;0.8;0.7566666666666666;0.2112088904433212;0.2;0.5;0.525;0.8;0.9;1.0;1.0;2.556666666666666;2.151926785206432;0.1;0.1675;0.75;1.0;5.0;5.0;5.0
21;Mu;Mosaic of Uses;Extensive use;0.6533333333333333;0.2224213667070142;0.3;0.3;0.5;0.7;0.8;0.9549999999999996;1.0;0.4566666666666666;0.2160512923348069;0.0;0.145;0.3;0.4;0.6;0.8;0.9;0.7433333333333335;1.1832676038082943;0.1;0.1;0.1375;0.375;0.9375;3.1999999999999886;5.0
24;Ur;Urban;Intensive use;0.3;0.3039963702142647;0.0;0.0;0.025;0.2;0.4;0.9549999999999996;1.0;0.8666666666666666;0.1604591114171508;0.2;0.7;0.8;0.9;1.0;1.0;1.0;3.8566666666666665;1.9065996491718504;0.1;0.2800000000000001;2.0;5.0;5.0;5.0;5.0
30;Mi;Mining;Intensive use;0.04;0.1652584183259243;0.0;0.0;0.0;0.0;0.0;0.1;0.9;0.9933333333333334;0.036514837167011;0.8;1.0;1.0;1.0;1.0;1.0;1.0;3.595;1.9966784918959788;0.1;0.3625;1.0;5.0;5.0;5.0;5.0
31;Aq;Aquaculture;Intensive use;0.45;0.2255262046093917;0.1;0.1;0.3;0.45;0.6;0.8;0.9;0.74;0.1849510652895088;0.2;0.445;0.7;0.8;0.875;1.0;1.0;2.8516666666666666;2.1622320000920854;0.1;0.1;0.8125;3.0;5.0;5.0;5.0
100;Vl;Very Light Traffic;Intensive use;0.3733333333333333;0.2391556026917424;0.0;0.045;0.2;0.3;0.5;0.7549999999999997;0.9;0.6033333333333333;0.1828572711411701;0.3;0.3;0.5;0.65;0.7;0.8549999999999998;1.0;0.6333333333333334;0.8839620404117413;0.1;0.1;0.1;0.5;0.9375;1.0;5.0
