Id,Alias,Name,Type,Color,Description in forms,Source,HABITAT_mean,HABITAT_std,HABITAT_min,HABITAT_p05,HABITAT_p25,HABITAT_p50,HABITAT_p75,HABITAT_p95,HABITAT_max,WEIGHT_mean,WEIGHT_std,WEIGHT_min,WEIGHT_p05,WEIGHT_p25,WEIGHT_p50,WEIGHT_p75,WEIGHT_p95,WEIGHT_max,MAX_DIST_mean,MAX_DIST_std,MAX_DIST_min,MAX_DIST_p05,MAX_DIST_p25,MAX_DIST_p50,MAX_DIST_p75,MAX_DIST_p95,MAX_DIST_max
3,FRF,Forest Formation,Natural,#006400,"Woody vegetation with arboreal or arboreal-shrub species, with continuous canopy dominance.",Mapbiomas Collection 7,0.97,0.1022168081,0.6,0.735,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,SVF,Savanna Formation,Natural,#00ff00,"Open plant formation with a more or less developed shrub and/or tree layer, herbaceous layer always present.",Mapbiomas Collection 7,0.96,0.1069966161,0.5,0.79,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,MG,Mangrove,Natural,#687537,"Dense and Evergreen Forest formations, often flooded by tide and  associated with the mangrove coastal ecosystem.",Mapbiomas Collection 7,0.99,0.05477225575,0.7,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,WS,Wooded Sandbank Vegetation,Natural,#6b9932,Forest formations that are established on sandy soils or on dunes in the coastal zone.,Mapbiomas Collection 7,0.9566666667,0.09352607357,0.7,0.745,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,WE,Wetland,Natural,#45c2a5,Herbaceous vegetation with a predominance of grasses subject to permanent or temporary flooding (at least once a year) according to natural flood pulses. The woody element can be present on the grassland matrix forming a mosaic with shrub or tree plants.,Mapbiomas Collection 7,0.9733333333,0.06396838299,0.8,0.8,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,GR,Grassland,Natural,#b8af4f,"Vegetation with a predominance of grassy herbaceous stratum, with the presence of isolated shrubs and stunted woody plants. The botanical composition is influenced by edaphic and topographic gradients and by pastoral management (livestock). Patches of invasive exotic vegetation or forage use (planted pasture) may be present forming mosaics with native vegetation",Mapbiomas Collection 7,0.9366666667,0.1129031728,0.6,0.7,0.9,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,SF,Salt-Flat,Natural,#968c46,"Apicuns or Salt flats are formations often without tree vegetation,  associated to a higher, hypersaline and less flooded area in the  mangrove, generally in the transition between this area and the  continent.",Mapbiomas Collection 7,0.8966666667,0.1884296875,0.2,0.6,0.8,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,RO,Rocky Outcrop,Natural,#ff8C00,"Rocks naturally exposed on the earth's surface without soil cover, often with partial presence of rupicolous vegetation and high slope.",Mapbiomas Collection 7,0.92,0.1297211864,0.5,0.7,0.9,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,HS,Herbaceus Sandbank Vegetation,Natural,#66ffcc,Herbaceous vegetation established on sandy soils or on dunes in the coastal zone.,Mapbiomas Collection 7,0.93,0.1235955585,0.6,0.7,0.9,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,PS,Pasture,Unnatural,#ffd966,"Pasture area, predominantly planted, linked livestock production  activities.",Mapbiomas Collection 7,0.5033333333,0.2428044954,0.1,0.145,0.325,0.5,0.675,0.955,1,0.73,0.2053592311,0.1,0.445,0.6,0.8,0.875,1,1,1.093333333,1.551006841,0.1,0.1,0.3125,0.5,0.75,5,5
39,SY,Soybean,Unnatural,#c59ff4,Areas cultivated with soybean,Mapbiomas Collection 7,0.2266666667,0.2180372213,0,0,0.025,0.2,0.375,0.555,0.8,0.8666666667,0.1397863723,0.5,0.545,0.8,0.9,1,1,1,1.84,1.926369643,0.1,0.1675,0.5,1,4,5,5
20,SC,Sugar cane,Unnatural,#c27ba0,Cultivated areas with sugar cane.,Mapbiomas Collection 7,0.2966666667,0.214127473,0,0,0.2,0.25,0.5,0.655,0.7,0.7866666667,0.1613164235,0.5,0.5,0.7,0.8,0.9,1,1,1.381666667,1.645067543,0.1,0.1675,0.5,0.875,1,5,5
40,RC,Rice,Unnatural,#982c9e,"Areas cultivated with rice, exclusively under irrigation",Mapbiomas Collection 7,0.33,0.2002584537,0,0,0.2,0.4,0.5,0.6,0.7,0.8033333333,0.1711690701,0.4,0.5,0.7,0.85,0.9,1,1,2.406666667,2.13118642,0.1,0.1675,0.5625,1,5,5,5
62,CT,Cotton,Unnatural,#660066,Areas cultivated with cotton cultivation.,Mapbiomas Collection 7,0.27,0.1932480985,0,0,0.1,0.2,0.4,0.6,0.7,0.77,0.2036731662,0.2,0.39,0.7,0.8,0.9,1,1,1.498333333,1.773484486,0.1,0.1675,0.5,0.75,1,5,5
41,OTCR,Other Temporary Crops,Unnatural,#e787f8,"Areas occupied with short or medium-term agricultural crops,  generally with a vegetative cycle of less than one year, which after  harvesting need to be planted again to produce. ",Mapbiomas Collection 7,0.34,0.2094327314,0,0.1,0.2,0.3,0.475,0.765,0.9,0.7433333333,0.1813423764,0.3,0.445,0.625,0.7,0.9,1,1,1.236666667,1.502826966,0.1,0.25,0.5,0.75,1,5,5
46,CF,Coffe,Unnatural,#cca0d4,Areas cultivated with coffee plantation.,Mapbiomas Collection 7,0.4566666667,0.1977168532,0.1,0.145,0.325,0.5,0.6,0.7,0.8,0.6466666667,0.22550072,0.1,0.245,0.525,0.7,0.8,0.9,1,1.131666667,1.542858998,0.1,0.1675,0.25,0.5,1,5,5
47,CI,Citrus,Unnatural,#d082de,Areas cultivated with citrus cultivation.,Mapbiomas Collection 7,0.4233333333,0.2269487764,0,0.1,0.225,0.5,0.6,0.7,0.8,0.64,0.2143152689,0.2,0.245,0.525,0.65,0.775,0.955,1,1.148333333,1.535929867,0.1,0.1675,0.3125,0.5,1,5,5
48,OPCR,Other Perennial Crops,Unnatural,#cd49e4,"Areas occupied with agricultural crops with a long vegetative cycle  (more than one year), which allow successive harvests, without the  need for new planting",Mapbiomas Collection 7,0.46,0.2206573252,0,0.045,0.325,0.45,0.6,0.755,0.9,0.6666666667,0.1953482008,0.2,0.345,0.6,0.65,0.8,0.955,1,0.915,1.141501205,0.1,0.1675,0.25,0.5,1,3.2,5
9,FP,Forest Plantation,Unnatural,#935132,"Tree species planted for commercial purposes (e.g. pinus, eucalyptus,  araucaria).",Mapbiomas Collection 7,0.4133333333,0.2046583921,0,0.1,0.3,0.4,0.5,0.755,0.8,0.7566666667,0.2112088904,0.2,0.5,0.525,0.8,0.9,1,1,2.556666667,2.151926785,0.1,0.1675,0.75,1,5,5,5
21,MU,Mosaic of Uses,Unnatural,#fff3bf,"Areas of agricultural use, where it was not possible to distinguish between pasture and agriculture. It may include areas of crops, winter or summer pastures and horticulture. Includes rest areas between agricultural crops (fallow).",Mapbiomas Collection 7,0.6533333333,0.2224213667,0.3,0.3,0.5,0.7,0.8,0.955,1,0.4566666667,0.2160512923,0,0.145,0.3,0.4,0.6,0.8,0.9,0.7433333333,1.183267604,0.1,0.1,0.1375,0.375,0.9375,3.2,5
23,BD,Beach Dune and Sand Spot,Natural,#dd7e6b,"Sandy areas, with bright white color, where there is no vegetation  predominance of any kind. ",Mapbiomas Collection 7,0.84,0.2298425248,0.2,0.39,0.725,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,BUE,Urban Area,Unnatural,#af2a2a,"Urban areas with predominance of non-vegetated surfaces, including  roads, highways and constructions. ",Mapbiomas Collection 7,0.3,0.3039963702,0,0,0.025,0.2,0.4,0.955,1,0.8666666667,0.1604591114,0.2,0.7,0.8,0.9,1,1,1,3.856666667,1.906599649,0.1,0.28,2,5,5,5,5
30,MI,Mining,Unnatural,#8a2be2,"Areas where clear signs of extensive mineral extractions are present,  shows clear exposure of the soil by the action of heavy machinery.",Mapbiomas Collection 7,0.04,0.1652584183,0,0,0,0,0,0.1,0.9,0.9933333333,0.03651483717,0.8,1,1,1,1,1,1,3.595,1.996678492,0.1,0.3625,1,5,5,5,5
33,RLO,River Lake Ocean,Natural,#0000ff,"Rivers, lakes, dams, reservoir and other water bodies ",Mapbiomas Collection 7,0.98,0.05508613944,0.8,0.845,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,AQ,Aquaculture,Unnatural,#29eee4,"Artificial lakes, where aquaculture and/or salt production activities  predominate",Mapbiomas Collection 7,0.45,0.2255262046,0.1,0.1,0.3,0.45,0.6,0.8,0.9,0.74,0.1849510653,0.2,0.445,0.7,0.8,0.875,1,1,2.851666667,2.162232,0.1,0.1,0.8125,3,5,5,5
100,RVL,Road Very Light Traffic,Unnatural,#D2CFC0,Road Very Light Traffic,Open Street Maps (2023),0.3733333333,0.2391556027,0,0.045,0.2,0.3,0.5,0.755,0.9,0.6033333333,0.1828572711,0.3,0.3,0.5,0.65,0.7,0.855,1,0.6333333333,0.8839620404,0.1,0.1,0.1,0.5,0.9375,1,5
101,RLT,Road Light Traffic,Unnatural,#D4AD9B,Road Light Traffic,Open Street Maps (2023),0.2366666667,0.285854235,0,0,0,0.1,0.4,0.81,0.9,0.7733333333,0.1680175141,0.4,0.5,0.7,0.8,0.9,1,1,1.01,1.365369303,0.1,0.1,0.25,0.5,1,5,5
102,RMT,Road Moderate Traffic,Unnatural,#D47F58,Road Moderate Traffic,Open Street Maps (2023),0.16,0.2283373185,0,0,0,0.1,0.2,0.61,0.8,0.8533333333,0.1357821108,0.5,0.6,0.8,0.9,0.9,1,1,1.463333333,1.792806614,0.1,0.1,0.5,0.75,1,5,5
103,RHT,Road Heavy Traffic,Unnatural,#D44A0A,Road Heavy Traffic,Open Street Maps (2023),0.06333333333,0.1711690701,0,0,0,0,0.075,0.2,0.9,0.9166666667,0.1261726604,0.6,0.645,0.9,1,1,1,1,2.243333333,2.114857495,0.1,0.1,0.5,1,5,5,5
104,RRD,Rail Road,Unnatural,#B5A295,Rail Road,Open Street Maps (2023),0.18,0.2219039867,0,0,0,0.1,0.3,0.555,0.8,0.78,0.1710011091,0.3,0.5,0.7,0.8,0.9,1,1,0.85,1.16010057,0.1,0.1,0.25,0.5,1,3.2,5
