THREAT,MAX_DIST,WEIGHT,DECAY,BASE_PATH,CUR_PATH,FUT_PATH
PS,1.093,0.73,linear,,PS.tif,
SY,1.84,0.867,linear,,SY.tif,
SC,1.382,0.787,linear,,SC.tif,
RC,2.407,0.803,linear,,RC.tif,
CT,1.498,0.77,linear,,CT.tif,
TC,1.237,0.743,linear,,TC.tif,
CF,1.132,0.647,linear,,CF.tif,
CI,1.148,0.64,linear,,CI.tif,
PO,2.557,0.757,linear,,PO.tif,
PC,0.915,0.667,linear,,PC.tif,
FP,2.557,0.757,linear,,FP.tif,
MU,0.743,0.457,linear,,MU.tif,
UR,3.857,0.867,linear,,UR.tif,
MI,3.595,0.993,linear,,MI.tif,
NV,1.45,0.715,linear,,NV.tif,
AQ,2.852,0.74,linear,,AQ.tif,
VL,0.633,0.603,linear,,VL.tif,
LT,1.01,0.773,linear,,LT.tif,
MT,1.463,0.853,linear,,MT.tif,
HT,2.243,0.917,linear,,HT.tif,
RR,0.85,0.78,linear,,RR.tif,
WF,1.838,0.66,linear,,WF.tif,
