THREAT,MAX_DIST,WEIGHT,DECAY,BASE_PATH,CUR_PATH,FUT_PATH
PS,0.1,0.445,linear,,PS.tif,
SY,0.168,0.545,linear,,SY.tif,
SC,0.168,0.5,linear,,SC.tif,
RC,0.168,0.5,linear,,RC.tif,
CT,0.168,0.39,linear,,CT.tif,
TC,0.25,0.445,linear,,TC.tif,
CF,0.168,0.245,linear,,CF.tif,
CI,0.168,0.245,linear,,CI.tif,
PO,0.168,0.5,linear,,PO.tif,
PC,0.168,0.345,linear,,PC.tif,
FP,0.168,0.5,linear,,FP.tif,
MU,0.1,0.145,linear,,MU.tif,
UR,0.28,0.7,linear,,UR.tif,
MI,0.362,1.0,linear,,MI.tif,
NV,0.163,0.391,linear,,NV.tif,
AQ,0.1,0.445,linear,,AQ.tif,
VL,0.1,0.3,linear,,VL.tif,
LT,0.1,0.5,linear,,LT.tif,
MT,0.1,0.6,linear,,MT.tif,
HT,0.1,0.645,linear,,HT.tif,
RR,0.1,0.5,linear,,RR.tif,
WF,0.1,0.4,linear,,WF.tif,
